#Format version: 1.0
time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3,
39134430,-0.035,0.168,0.98,-7.787,-15.54,6.58,
39134440,-0.025,0.169,0.978,-7.35,-15.347,6.65,
39134450,-0.022,0.166,0.977,-6.842,-14.315,6.282,
39134460,-0.001,0.16,0.979,-6.195,-13.632,5.74,
39134470,0,0.161,0.976,-5.04,-11.427,5.11,
39134480,-0.011,0.167,0.977,-4.06,-10.045,4.042,
39134490,-0.012,0.167,0.974,-3.605,-8.47,3.657,
39134500,-0.008,0.171,0.973,-2.94,-7.752,3.29,
39134510,-0.016,0.172,0.971,-2.327,-6.562,2.852,
39134520,-0.022,0.171,0.972,-2.135,-6.352,2.572,
39134530,-0.023,0.174,0.973,-1.68,-5.74,2.712,
39134540,-0.034,0.174,0.975,-1.54,-6.002,2.31,
39134550,-0.032,0.175,0.975,-1.68,-6.02,2.24,
39134560,-0.029,0.17,0.978,-1.627,-6.527,2.31,
39134570,-0.025,0.174,0.974,-1.68,-6.352,2.345,
39134580,-0.021,0.171,0.976,-1.522,-6.44,2.45,
39134590,-0.014,0.165,0.979,-1.452,-5.862,2.59,
39134600,-0.014,0.165,0.979,-0.91,-5.197,2.537,
39134610,-0.014,0.162,0.982,-0.455,-4.235,2.432,
39134620,-0.011,0.162,0.981,0.21,-3.36,2.205,
39134630,-0.011,0.163,0.981,0.805,-2.397,1.785,
39134640,-0.012,0.162,0.979,1.312,-1.487,1.4,
39134650,-0.01,0.164,0.98,1.732,-0.77,0.997,
39134660,-0.007,0.162,0.979,2.257,0.21,0.647,
39134670,0.006,0.163,0.974,2.957,1.19,0.245,
39134670,0.018,0.17,0.969,4.06,3.307,0.122,
39134690,-0.006,0.167,0.972,5.25,5.652,0.122,
39134690,-0.05,0.176,0.975,6.125,6.93,-0.052,
39134710,-0.076,0.19,0.973,6.422,5.127,-0.63,
39134710,-0.049,0.18,0.974,5.407,3.045,-0.822,
39134730,-0.033,0.179,0.971,5.215,1.802,-0.682,
39134730,-0.027,0.178,0.97,5.285,2.187,-0.21,
39134750,-0.025,0.179,0.97,5.547,2.292,0.035,
39134750,-0.013,0.172,0.974,6.387,3.657,0.525,
39134760,-0.043,0.196,0.966,7.455,4.042,0.315,
39134770,-0.049,0.193,0.967,7.07,3.832,0.157,
39134780,-0.024,0.179,0.972,6.527,3.237,0.297,
39134790,-0.036,0.196,0.968,6.65,4.025,0.315,
39134800,-0.043,0.191,0.972,6.142,3.727,0.385,
39134810,-0.035,0.198,0.976,5.792,4.042,0.7,
39134820,-0.031,0.202,0.975,6.107,3.972,0.735,
39134830,-0.028,0.184,0.983,5.6,5.057,0.367,
39134840,-0.025,0.162,0.992,5.652,5.827,-0.98,
39134850,-0.038,0.179,0.99,6.457,7.962,-1.767,
39134860,-0.094,0.183,0.989,6.772,8.767,-2.467,
39134870,-0.1,0.185,0.988,6.072,8.12,-2.87,
39134880,-0.103,0.196,0.981,5.845,6.23,-2.782,
39134890,-0.128,0.199,0.977,4.235,4.812,-2.1,
39134900,-0.137,0.209,0.975,2.31,1.855,-1.067,
39134910,-0.129,0.218,0.971,-0.017,-1.12,0.455,
39134920,-0.123,0.21,0.972,-2.66,-4.62,1.575,
39134930,-0.111,0.208,0.974,-4.777,-7.437,2.537,
39134940,-0.093,0.199,0.977,-6.265,-10.185,3.167,
39134950,-0.079,0.196,0.977,-7.332,-11.777,3.64,
39134960,-0.073,0.193,0.978,-8.295,-13.055,3.657,
39134970,-0.061,0.192,0.976,-8.785,-13.947,3.902,
39134980,-0.053,0.187,0.975,-9.152,-14.542,3.902,
39134990,-0.042,0.184,0.977,-9.397,-14.7,3.99,
39135000,-0.026,0.18,0.977,-9.082,-14.42,4.095,
39135010,-0.015,0.174,0.976,-8.33,-13.58,3.885,
39135020,-0.01,0.173,0.975,-7.297,-12.075,3.307,
39135030,-0.013,0.179,0.973,-5.967,-10.727,2.712,
39135040,-0.019,0.18,0.972,-4.987,-9.31,2.065,
39135050,-0.022,0.18,0.971,-4.305,-8.592,1.452,
39135060,-0.022,0.181,0.972,-3.745,-7.542,1.207,
39135070,-0.032,0.18,0.972,-3.29,-6.947,1.102,
39135080,-0.029,0.182,0.972,-3.132,-6.177,1.277,
39135080,-0.026,0.178,0.975,-2.765,-5.932,1.54,
39135100,-0.027,0.175,0.978,-2.625,-5.092,1.522,
39135100,-0.029,0.177,0.976,-2.275,-4.952,1.172,
39135120,-0.026,0.18,0.974,-2.17,-4.287,0.91,
39135120,-0.025,0.173,0.976,-2.117,-4.34,0.262,
39135130,-0.037,0.18,0.977,-2.03,-3.727,-0.297,
39135140,-0.035,0.179,0.976,-1.855,-4.165,-0.63,
39135150,-0.025,0.173,0.978,-2.1,-3.657,-0.63,
39135160,-0.018,0.175,0.975,-1.68,-3.482,-0.612,
39135170,-0.008,0.17,0.977,-1.365,-1.925,-0.455,
39135180,-0.012,0.17,0.981,-0.787,-0.822,-0.7,
39135190,-0.022,0.168,0.982,-0.262,0.787,-1.155,
39135200,-0.018,0.17,0.983,0.14,1.452,-1.767,
39135210,-0.019,0.167,0.987,0.227,3.01,-2.327,
39135220,-0.022,0.171,0.986,0.262,3.955,-3.097,
39135230,-0.015,0.162,0.989,0,5.775,-3.272,
39135240,-0.017,0.167,0.991,-0.105,7.35,-3.517,
39135250,-0.029,0.168,0.991,-0.385,9.432,-3.71,
39135260,-0.042,0.166,0.995,-1.522,10.43,-4.025,
39135270,-0.044,0.17,0.993,-2.922,11.55,-4.112,
39135280,-0.048,0.176,0.99,-4.585,12.022,-4.235,
39135290,-0.062,0.169,0.995,-7.14,12.635,-4.445,
39135300,-0.085,0.163,1.004,-10.132,12.022,-4.777,
39135310,-0.091,0.16,1.005,-13.107,10.587,-4.97,
39135320,-0.175,0.18,0.999,-16.537,7.752,-5.25,
39135330,-0.241,0.196,1.011,-22.837,2.87,-4.97,
39135340,-0.331,0.222,1.012,-30.992,-7.157,-4.655,
39135350,-0.407,0.228,1.049,-42.822,-21.945,-4.847,
39135360,-0.391,0.202,1.126,-61.32,-39.025,-5.845,
39135370,-0.385,0.196,1.213,-79.292,-61.057,-5.495,
39135380,-0.351,0.196,1.121,-94.29,-87.64,-0.35,
39135390,-0.122,0.179,1.012,-102.042,-111.737,10.045,
39135400,0.07,0.087,1.073,-94.325,-115.465,23.397,
39135410,0,-0.023,1,-61.775,-115.815,40.81,
39135420,0.023,-0.059,1.071,-12.932,-112.787,49.962,
39135420,0.226,-0.135,0.95,25.41,-109.655,55.667,
39135440,0.223,-0.153,0.946,38.745,-82.442,57.995,
39135440,-0.192,0.085,1.013,44.642,-60.55,57.47,
39135460,-0.101,0.109,1.053,44.187,-40.232,57.96,
39135460,0.047,0.026,1.005,39.742,-28.857,65.852,
39135480,-0.02,-0.007,1.015,39.27,-4.217,70.087,
39135480,-0.141,-0.136,0.976,43.19,21.14,78.435,
39135500,-0.401,-0.293,0.92,51.59,25.865,97.09,
39135500,-0.342,-0.493,0.909,60.217,3.22,126.735,
39135510,0.121,-0.626,0.963,50.172,-0.7,157.745,
39135520,0.346,-0.782,0.984,34.545,3.605,172.235,
39135530,0.213,-0.903,0.991,30.135,9.555,169.89,
39135540,-0.025,-0.815,0.903,26.39,8.96,156.117,
39135550,-0.038,-0.795,0.795,11.812,4.165,123.777,
39135560,0.003,-0.976,0.82,-17.097,14.437,77.35,
39135570,-0.179,-1.016,0.896,-47.88,34.335,19.862,
39135580,-0.328,-0.935,0.976,-73.412,51.905,-41.527,
39135590,-0.341,-0.884,1.06,-95.06,69.107,-91.805,
39135600,-0.371,-0.749,1.123,-110.74,81.742,-130.655,
39135610,-0.38,-0.589,1.184,-121.03,89.67,-158.025,
39135620,-0.327,-0.478,1.242,-130.427,94.185,-175.63,
39135630,-0.262,-0.399,1.248,-132.65,97.755,-188.072,
39135640,-0.211,-0.291,1.227,-125.982,100.817,-196.717,
39135650,-0.165,-0.211,1.197,-118.107,105.017,-200.305,
39135660,-0.124,-0.148,1.161,-110.652,109.76,-199.395,
39135670,-0.11,-0.079,1.096,-101.167,112.647,-194.565,
39135680,-0.007,0.01,1.04,-93.887,113.75,-186.707,
39135690,0.033,0.1,1.031,-91.105,112.332,-176.592,
39135700,0.089,0.219,0.949,-88.882,109.34,-170.817,
