#Format version: 1.0,,,,,,
time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3
37463420,-0.139,0.021,0.909,15.82,-177.782,-3.71
37463430,-0.056,0.041,0.941,17.955,-166.67,-6.947
37463440,0.004,0.073,0.96,17.482,-152.565,-2.765
37463450,0.014,0.084,0.975,15.89,-141.417,6.667
37463460,-0.006,0.081,0.972,14.787,-132.93,15.575
37463470,-0.02,0.076,0.958,11.252,-123.567,18.742
37463480,-0.031,0.082,0.958,9.397,-113.295,17.29
37463490,-0.027,0.086,0.952,7.402,-102.252,14.245
37463500,-0.016,0.068,0.941,5.547,-91.91,8.89
37463510,0.022,0.079,0.95,4.742,-81.585,-1.137
37463520,0.03,0.091,0.961,3.517,-70.945,-5.985
37463530,0.048,0.083,0.964,2.292,-61.705,-6.335
37463540,0.062,0.071,0.969,1.785,-55.282,-6.072
37463550,0.064,0.073,0.978,1.54,-49.84,-5.355
37463560,0.053,0.068,0.976,-0.192,-44.415,-4.917
37463570,0.052,0.073,0.992,-0.315,-36.557,-3.937
37463580,0.044,0.08,0.991,-2.205,-30.275,-3.29
37463590,0.034,0.076,0.995,-3.5,-27.177,-1.837
37463600,0.026,0.067,0.981,-5.232,-25.725,-0.455
37463610,0.034,0.064,0.98,-5.302,-24.57,0.437
37463620,0.035,0.066,0.977,-5.18,-24.605,1.662
37463620,0.032,0.066,0.974,-5.232,-23.66,3.15
37463640,0.021,0.061,0.967,-4.987,-21.892,3.92
37463640,0.022,0.058,0.962,-4.655,-20.107,3.587
37463660,0.035,0.069,0.955,-4.375,-19.145,1.505
37463660,0.045,0.073,0.954,-3.465,-18.952,-0.42
37463670,0.057,0.07,0.958,-2.152,-18.06,-1.277
37463680,0.076,0.067,0.958,-1.767,-15.12,-1.75
37463690,0.089,0.07,0.962,-1.05,-11.48,-0.857
37463700,0.08,0.074,0.969,-0.787,-9.94,0.752
37463710,0.061,0.078,0.977,-1.645,-8.47,2.327
37463720,0.053,0.081,0.99,-3.062,-6.3,3.465
37463730,0.056,0.082,1,-4.795,-4.987,4.13
37463740,0.066,0.078,0.993,-6.737,-4.095,4.952
37463750,0.066,0.072,0.993,-8.155,-1.767,5.477
37463760,0.062,0.071,0.992,-8.697,1.627,5.39
37463770,0.06,0.073,0.994,-8.33,4.095,5.092
37463780,0.058,0.074,0.992,-8.032,4.76,4.725
37463790,0.066,0.071,0.998,-7.42,6.317,4.13
37463800,0.078,0.067,1.006,-6.475,9.817,3.622
37463810,0.095,0.061,1.011,-5.775,15.82,3.307
37463820,0.105,0.054,1.015,-4.9,25.795,3.22
37463830,0.106,0.049,1.013,-4.34,38.08,3.22
37463840,0.088,0.057,1.015,-3.64,49.647,3.01
37463850,0.033,0.05,1.009,-5.775,57.032,4.252
37463860,0.005,0.041,1.005,-5.705,60.445,7.682
37463870,0.003,0.045,0.994,-0.892,60.97,6.335
37463880,-0.014,0.044,0.988,-0.892,60.112,6.037
37463890,-0.046,0.042,0.985,-0.927,56.822,6.65
37463900,-0.061,0.033,0.98,-0.157,51.24,4.725
37463910,-0.066,0.018,0.972,1.96,44.572,2.45
37463920,-0.053,0.003,0.966,4.987,40.687,2.712
37463930,-0.037,0.001,0.972,7.087,40.565,4.602
37463940,-0.041,0.022,0.966,9.555,42.07,6.055
37463950,-0.053,0.044,0.955,10.675,45.447,6.125
37463960,-0.069,0.051,0.972,13.037,51.397,7.805
37463970,-0.083,0.061,0.977,13.615,56.91,9.485
37463980,-0.071,0.069,0.989,11.9,62.265,9.992
37463990,-0.074,0.076,0.989,11.55,66.097,9.012
37464000,-0.098,0.083,0.977,12.967,66.29,6.562
37464010,-0.129,0.093,0.97,15.942,64.75,3.937
37464010,-0.158,0.098,0.982,17.885,63.28,2.205
37464030,-0.172,0.109,0.983,17.412,61.11,1.82
37464030,-0.177,0.113,0.977,16.065,58.1,2.712
37464050,-0.155,0.113,1.006,14.927,58.677,4.76
37464050,-0.159,0.114,1.006,14.647,59.937,6.545
37464070,-0.177,0.107,0.999,15.487,61.81,7.682
37464070,-0.213,0.103,1.001,16.52,63.735,7.997
37464080,-0.248,0.103,1,17.325,63.612,7.35
37464090,-0.269,0.104,0.994,17.552,61.005,6.247
37464100,-0.29,0.11,1.008,16.905,57.295,5.32
37464110,-0.291,0.104,0.973,11.567,52.902,0.997
37464120,-0.3,0.109,0.978,12.18,51.31,-2.485
37464130,-0.299,0.106,0.974,9.362,52.43,-3.027
37464140,-0.318,0.096,0.967,8.837,51.502,-1.575
37464150,-0.33,0.091,0.962,11.252,49.717,0.612
37464160,-0.337,0.094,0.96,14.367,48.055,2.625
37464170,-0.339,0.099,0.96,16.502,46.865,4.462
37464180,-0.346,0.103,0.952,18.182,44.66,5.67
37464190,-0.35,0.109,0.949,17.412,43.102,5.652
37464200,-0.355,0.111,0.949,13.51,42.542,5.477
37464210,-0.37,0.109,0.94,11.147,41.702,5.495
37464220,-0.373,0.107,0.936,10.605,42.962,5.477
37464230,-0.378,0.111,0.938,10.815,44.397,5.215
37464240,-0.392,0.119,0.937,10.237,44.065,4.392
37464250,-0.407,0.126,0.929,8.977,42.017,3.745
37464260,-0.413,0.13,0.923,7.577,39.62,3.727
37464270,-0.415,0.132,0.923,6.247,36.627,4.235
37464280,-0.423,0.132,0.921,4.865,31.815,4.9
37464290,-0.425,0.132,0.924,3.482,27.93,5.477
37464300,-0.421,0.133,0.925,2.502,26.232,6.177
37464310,-0.425,0.136,0.924,2.047,24.675,6.702
37464320,-0.432,0.136,0.923,1.837,22.942,6.842
37464330,-0.433,0.132,0.926,1.417,21.927,6.422
37464330,-0.428,0.128,0.923,1.085,21.332,5.687
37464350,-0.417,0.125,0.914,0.927,20.3,4.9
37464350,-0.405,0.125,0.907,0.945,20.317,4.357
37464370,-0.408,0.125,0.897,1.085,21.437,4.165
37464370,-0.42,0.124,0.894,1.26,23.187,3.972
37464390,-0.436,0.124,0.892,1.4,24.622,3.675
37464390,-0.441,0.126,0.888,1.522,25.165,3.29
37464410,-0.44,0.127,0.882,1.627,24.815,2.975
37464410,-0.425,0.124,0.89,1.75,26.04,3.08
37464420,-0.421,0.126,0.896,1.435,25.987,3.307
37464430,-0.429,0.12,0.885,1.102,24.587,3.535
37464440,-0.428,0.113,0.889,0.77,26.442,3.727
37464450,-0.428,0.107,0.877,0.857,27.912,3.762
37464460,-0.418,0.103,0.863,1.085,30.345,3.92
37464470,-0.395,0.096,0.866,1.137,35.77,4.462
37464480,-0.358,0.084,0.868,1.207,43.75,5.46
37464490,-0.314,0.07,0.855,1.47,53.69,6.912
37464500,-0.291,0.06,0.839,2.572,65.695,9.082
37464510,-0.302,0.058,0.823,4.025,79.205,11.042
37464520,-0.348,0.059,0.815,5.145,91.385,11.97
37464530,-0.404,0.058,0.809,5.81,101.22,11.375
37464540,-0.45,0.062,0.79,7.437,107.817,8.855
37464550,-0.462,0.077,0.771,9.17,115.01,6.265
37464560,-0.489,0.098,0.77,11.165,122.272,4.567
37464570,-0.525,0.109,0.769,12.792,127.207,2.66
37464580,-0.547,0.114,0.74,13.65,129.132,0.56
37464590,-0.566,0.12,0.705,14.962,126.805,-1.12
37464600,-0.595,0.154,0.698,16.642,123.235,-1.697
37464610,-0.621,0.182,0.705,17.185,117.687,-2.957
37464620,-0.629,0.192,0.698,16.082,108.395,-4.567
37464630,-0.66,0.205,0.681,15.032,98.402,-6.09
37464640,-0.708,0.227,0.652,14.822,92.26,-7.262
37464650,-0.741,0.24,0.64,14.735,87.5,-8.592
37464660,-0.767,0.25,0.639,13.632,80.517,-9.52
37464670,-0.793,0.26,0.617,11.602,71.925,-9.8
