time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3
64869670,-0.026,-0.383,0.937,-17.587,24.832,-0.07
64869670,0.001,-0.321,0.988,-17.832,22.155,-0.525
64869690,0.018,-0.305,1.01,-23.642,20.632,-0.437
64869690,-0.004,-0.29,1.052,-33.827,17.972,-0.63
64869710,0.01,-0.322,0.974,-44.835,13.195,0.56
64869710,-0.058,-0.372,0.827,-46.672,8.435,0.84
64869730,-0.122,-0.488,0.799,-34.317,5.897,-1.872
64869730,-0.055,-0.516,0.783,-18.987,2.397,-5.11
64869750,-0.034,-0.448,0.833,-3.342,-1.19,-8.662
64869750,-0.024,-0.43,0.891,5.565,-4.007,-10.447
64869760,-0.007,-0.474,0.889,9.31,-7.315,-11.97
64869770,0.027,-0.406,0.963,17.202,-7.682,-7.07
64869780,0.072,-0.338,1.002,15.68,-7.577,-3.972
64869790,0.045,-0.335,1.028,8.33,-6.055,-0.157
64869800,0.055,-0.322,1.071,-1.505,-3.902,2.642
64869810,0.002,-0.28,1.169,-15.102,-1.557,3.937
64869820,-0.049,-0.283,1.262,-37.66,-0.28,3.237
64869830,0.042,-0.514,1.214,-61.74,-2.047,3.255
64869840,0.009,-0.649,1.347,-73.99,16.642,-0.035
64869850,0.089,-0.496,1.339,-83.632,23.467,-9.082
64869860,0.496,-1.107,1.103,-112.157,37.1,-19.775
64869870,1.169,-1.994,1.009,-140.577,90.212,10.815
64869880,-0.564,-1.998,-0.08,-78.05,139.527,155.557
64869890,-1.731,-1.423,-0.661,149.327,68.32,110.232
64869900,1.755,-0.256,-1.039,87.587,94.972,31.622
64869910,1.997,-1.853,-0.647,-30.572,104.405,98.035
64869920,1.015,-1.667,-0.698,-97.475,83.597,-29.452
64869930,0.635,-0.922,-0.362,-102.882,61.092,-93.205
64869940,0.534,-0.693,-0.264,-128.187,22.977,-90.58
64869950,-0.048,-0.221,-0.232,-146.597,-10.605,-47.617
64869960,-0.189,0.081,-0.046,-163.625,-30.17,36.102
64869970,0.068,0.244,-0.187,-174.597,-44.992,133.087
64869980,1.55,0.079,1.733,-127.207,-40.32,168.28
64869990,-0.952,1.307,1.363,74.97,-77.227,237.667
64870000,-1.481,1.997,1.998,341.285,-81.515,229.512
64870010,-1.988,-0.269,1.101,213.727,-155.365,249.235
64870010,-1.092,-1.779,0.471,190.977,-218.067,101.5
64870030,-1.641,1.76,1.935,388.36,-167.702,-39.287
64870030,1.857,0.655,1.399,154.892,-217.84,-76.02
64870050,1.011,1.394,1.393,64.487,-60.952,-22.47
64870050,0.823,-0.371,1.01,-48.877,27.125,11.462
64870070,-0.07,-0.205,1.044,-64.312,59.972,7.122
64870070,0.251,-0.514,0.873,-79.485,58.957,6.212
64870080,-0.253,-0.58,0.844,-68.005,59.132,8.645
64870090,-0.354,-0.645,0.772,-56.192,45.377,7.927
64870100,-0.37,-0.687,0.74,-33.687,26.39,2.275
64870110,-0.171,-0.504,0.826,-9.03,8.067,-6.335
64870120,-0.015,-0.444,0.875,4.515,-2.38,-8.645
64870130,-0.154,-0.431,0.916,10.675,-7.682,-6.615
64870140,-0.097,-0.321,0.99,11.427,-14.542,-9.45
64870150,0.108,-0.216,1.032,4.007,-17.5,-13.58
64870160,0.261,-0.265,0.995,-7.84,-10.517,-14.385
64870170,0.229,-0.307,0.961,-16.59,2.38,-9.922
64870180,0.149,-0.327,0.952,-23.38,13.93,-3.832
64870190,0.032,-0.382,0.929,-28,21.192,0.595
64870200,-0.067,-0.402,0.943,-29.855,22.785,1.435
64870210,-0.072,-0.346,0.985,-32.935,20.51,-0.735
64870220,-0.066,-0.355,0.969,-38.92,18.847,-3.85
64870230,-0.043,-0.424,0.953,-43.802,17.797,-7.017
64870240,0,-0.373,0.998,-47.46,25.112,-10.097
64870250,-0.072,-0.375,1.006,-54.915,34.58,-15.12
64870260,0.119,-0.341,1.079,-64.522,46.095,-18.2
64870270,0.153,-0.305,1.158,-79.502,61.81,-18.025
64870280,0.197,-0.303,1.189,-100.642,80.797,-15.172
64870290,0.161,-0.311,1.229,-124.88,96.862,-10.71
64870300,0.194,-0.462,1.22,-152.302,108.937,-5.915
64870310,0.403,-0.227,1.184,-165.427,118.265,7.525
64870320,0.436,-0.565,1.027,-184.59,108.657,19.495
64870330,0.467,-0.974,1.028,-183.032,100.082,52.22
64870340,0.393,-1.239,0.867,-146.597,93.03,90.195
64870350,-0.006,-0.904,0.975,-94.99,59.885,110.897
64870360,-0.539,-1.253,1.021,-73.307,-20.177,113.487
64870370,0.452,-1.984,0.971,-57.61,-107.625,88.952
64870380,1.985,-1.717,0.605,18.672,-136.465,25.112
64870390,0.921,0.2,0.279,147.157,-126.14,-50.61
64870400,0.405,1.176,0.394,181.545,-95.865,-114.905
64870410,-0.116,1.049,0.182,159.442,-74.2,-109.707
64870420,-0.677,1.53,-0.247,190.96,-80.587,-104.562
64870420,-0.519,1.946,-0.262,192.587,-79.73,-70.612
64870430,-0.468,1.265,-0.601,139.755,-72.292,-0.787
64870440,-0.464,0.569,-0.438,94.937,-47.425,55.055
64870450,-0.63,-0.465,-0.495,54.95,-28.945,93.537
64870460,-0.043,-0.986,-1.05,40.355,-34.405,90.982
64870470,0.522,-1.754,0.349,-37.992,62.825,143.027
64870480,-1.224,-1.464,0.366,198.45,-107.59,177.52
64870490,-1.171,1.997,1.266,514.762,-81.865,18.112
64870500,1.801,1.077,0.366,88.917,-120.697,-50.54
64870510,-1.27,-1.819,0.632,-156.03,-22.802,-30.257
64870520,0.982,0.55,1.159,1.68,53.112,-25.882
64870530,-0.615,-1.054,0.888,-54.407,41.93,16.73
64870540,-0.07,0.085,1.102,-23.852,35.647,1.75
64870550,-0.115,-0.699,0.909,-42.612,18.602,-12.32
64870560,0.086,-0.236,0.996,-29.697,16.222,-14.962
64870570,-0.153,-0.531,0.864,-37.572,9.432,-6.807
64870580,-0.163,-0.481,0.883,-22.47,0.052,-3.062
64870590,-0.188,-0.465,0.911,-11.847,-12.25,-3.972
64870600,0.037,-0.303,0.968,-5.845,-20.86,-7.227
64870610,0.227,-0.338,0.918,-12.197,-22.365,-6.825
64870620,0.266,-0.357,0.907,-13.282,-15.627,-3.15
64870630,0.205,-0.33,0.925,-11.76,-6.685,1.33
64870640,0.18,-0.33,0.935,-12.512,0.56,3.885
64870650,0.077,-0.328,0.945,-14.472,5.477,4.357
64870660,0.004,-0.376,0.921,-17.517,6.142,2.467
64870670,0.008,-0.386,0.916,-16.625,4.357,-0.787
64870680,0.092,-0.386,0.916,-14.63,3.675,-2.292
64870690,0.116,-0.359,0.934,-13.807,5.67,-0.297
64870700,0.07,-0.358,0.957,-16.205,7.595,2.467
64870710,0.031,-0.336,0.991,-20.65,8.347,4.392
64870720,-0.002,-0.315,1.028,-27.177,8.137,4.007
64870730,0.027,-0.302,1.073,-36.015,8.767,1.907
64870740,0.079,-0.284,1.136,-48.615,11.375,0.997
64870750,0.071,-0.309,1.247,-66.377,11.602,3.15
64870760,0.124,-0.153,1.419,-91.612,17.797,5.565
64870760,-0.06,-0.237,1.505,-125.912,29.627,7.315
64870780,-0.264,-0.302,1.44,-160.405,32.322,-0.035
64870780,0.016,-0.277,1.331,-192.272,45.517,-11.462
64870800,0.214,-0.363,1.561,-227.132,70.297,-20.195
64870800,0.23,-0.929,1.577,-255.15,87.395,-3.762
64870820,-0.089,-1.433,1.317,-227.482,121.205,16.87
64870820,-0.488,-1.054,0.86,-162.522,121.835,24.902
64870830,-0.795,-0.497,1.055,-121.257,117.145,38.867
64870840,-0.278,-1.601,0.871,-112.595,60.445,40.547
64870850,-0.346,-1.127,1.32,-14.577,16.52,57.54
64870860,1.452,1.237,0.493,163.415,31.202,3.307
64870870,1.994,1.74,0.732,179.9,34.387,-117.092
64870880,0.729,0.779,0.177,194.477,59.587,-203.332
64870890,-0.671,1.171,0.08,276.412,68.477,-248.85
64870900,-0.742,1.376,-0.425,303.537,43.575,-218.295
64870910,-0.654,0.93,-0.881,257.337,15.767,-133.997
64870920,-0.865,0.238,-1.278,182.017,5.25,-16.992
64870930,-0.535,-0.422,-1.279,90.475,7.262,87.99
64870940,-0.103,-1.086,-1.228,19.495,13.002,169.33
64870950,0.149,-1.348,-1.163,-25.182,21.507,221.147
64870960,0.384,-1.324,-1.289,-55.422,33.775,273.35
64870970,0.124,-1.703,1.149,-141.067,-7.437,285.075
64870980,-0.399,-1.998,0.166,11.847,-311.657,120.295
64870990,-0.08,1.566,0.025,537.792,-304.745,-230.737
64871000,1.179,0.253,0.746,119.28,-43.295,112.63
64871010,-1.405,-1.998,0.237,-342.177,-6.492,-2.922
64871020,1.095,1.312,1.41,30.835,93.415,-1.4
64871030,-0.935,-1.329,0.742,-58.712,48.737,25.917
64871040,0.549,-0.285,0.98,-26.267,37.222,-23.117
64871050,-0.355,-0.345,0.984,-24.657,44.03,5.915
64871060,-0.408,-0.741,0.822,-34.422,24.377,-3.08
64871070,-0.161,-0.358,0.938,-13.947,7.087,-11.025
64871080,-0.191,-0.44,0.89,-8.522,-6.247,-10.202
64871090,0.021,-0.428,0.908,-1.417,-16.327,-11.252
64871100,0.218,-0.195,0.981,3.885,-15.645,-9.817
64871100,0.232,-0.316,0.937,-3.867,-8.715,-6.93
64871120,0.202,-0.315,0.928,-6.037,0.472,-3.535
64871120,0.162,-0.332,0.926,-7.367,8.26,0.07
64871140,-0.017,-0.359,0.929,-8.032,12.932,2.52
64871140,-0.055,-0.353,0.932,-7.245,10.85,0.822
64871160,0.033,-0.31,0.946,-7.052,7.437,-1.487
64871160,0.055,-0.314,0.939,-9.257,6.65,-2.677
64871170,0.056,-0.349,0.92,-11.41,7.28,-2.432
64871180,-0.036,-0.403,0.906,-11.025,6.125,-2.607
64871190,-0.072,-0.378,0.925,-7.157,2.31,-3.272
64871200,0.014,-0.383,0.934,-5.582,-2.012,-4.725
64871210,0.016,-0.317,0.979,-4.672,-3.062,-4.235
