time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3
49426070,-0.008,-0.319,0.954,-1.26,-24.01,15.995
49426080,-0.015,-0.312,0.966,-1.942,-17.027,17.465
49426080,0.001,-0.303,0.972,-4.445,-9.45,17.57
49426100,0.034,-0.291,0.964,-7.717,1.242,18.725
49426100,0.032,-0.303,0.963,-9.082,12.232,24.762
49426120,-0.041,-0.316,0.959,-9.047,19.775,29.767
49426120,-0.076,-0.334,0.974,-7.245,25.672,30.835
49426140,-0.07,-0.383,0.98,-4.235,26.845,30.292
49426140,-0.091,-0.34,1.002,-0.14,30.957,25.882
49426150,-0.167,-0.342,1.007,4.112,29.207,25.585
49426160,-0.185,-0.353,1.001,7.14,21.875,28.105
49426170,-0.144,-0.315,1.03,8.96,17.675,25.462
49426180,-0.145,-0.302,1.031,10.465,16.66,25.935
49426190,-0.182,-0.307,1.02,10.377,15.697,25.882
49426200,-0.195,-0.303,1.024,10.815,13.23,22.767
49426210,-0.19,-0.283,1.022,10.71,10.062,18.9
49426220,-0.188,-0.257,1.019,11.025,8.19,15.225
49426230,-0.205,-0.26,1.025,10.167,2.765,13.247
49426240,-0.226,-0.276,0.981,8.627,-2.397,12.425
49426250,-0.229,-0.294,0.976,12.005,-10.745,9.117
49426260,-0.171,-0.289,0.959,18.252,-14.997,6.107
49426270,-0.138,-0.251,0.967,25.497,-13.72,4.305
49426280,-0.146,-0.215,0.984,30.59,-10.5,3.22
49426290,-0.097,-0.199,1.009,32.48,-4.252,2.73
49426300,-0.081,-0.157,0.963,34.335,8.505,3.85
49426310,-0.129,-0.127,1.03,32.865,8.872,8.75
49426320,-0.212,-0.105,1.056,23.31,12.985,14.98
49426330,-0.206,-0.1,1.026,16.397,14.297,12.372
49426340,-0.181,-0.104,1.027,10.237,13.545,13.23
49426350,-0.197,-0.111,1.01,3.57,13.737,17.342
49426360,-0.233,-0.139,0.988,2.817,13.79,21.962
49426370,-0.257,-0.221,0.959,10.972,11.27,29.61
49426380,-0.258,-0.324,0.921,32.62,8.61,39.042
49426390,-0.2,-0.319,0.925,65.292,13.37,48.247
49426400,-0.12,-0.187,0.986,94.57,29.75,53.27
49426410,-0.137,-0.071,1.056,108.937,51.415,54.127
49426420,-0.208,-0.011,1.102,107.502,72.555,51.537
49426420,-0.24,0.015,1.133,96.74,87.587,46.83
49426440,-0.29,0.019,1.096,81.305,96.915,47.302
49426440,-0.335,0.034,1.065,70.192,99.925,48.947
49426460,-0.341,0.029,1.043,62.037,100.625,49.927
49426460,-0.328,0.025,0.985,53.375,102.025,53.007
49426480,-0.302,0.004,0.934,48.527,105.91,55.492
49426480,-0.323,-0.012,0.9,46.375,111.877,58.047
49426500,-0.397,-0.033,0.865,44.572,116.252,59.255
49426500,-0.44,-0.044,0.852,49.28,115.395,54.32
49426510,-0.531,-0.023,0.858,55.317,107.485,47.81
49426520,-0.457,0.019,0.837,63.017,90.79,40.11
49426530,-0.396,0.062,0.824,66.937,77.297,44.24
49426540,-0.48,0.093,0.861,60.27,60.235,44.24
49426550,-0.567,0.14,0.888,41.597,38.185,34.51
49426560,-0.447,0.117,0.833,22.767,15.312,27.807
49426570,-0.345,0.016,0.936,17.85,0.437,29.452
49426580,-0.373,-0.092,0.894,20.335,-14.297,22.855
49426590,-0.202,-0.178,0.887,36.05,-39.69,7.857
49426600,-0.07,-0.084,0.874,56.07,-53.462,5.862
49426610,-0.096,0.07,0.87,66.185,-51.502,17.937
49426620,-0.234,0.145,0.854,67.655,-42.245,24.78
49426630,-0.37,0.165,0.806,63.297,-37.432,24.185
49426640,-0.381,0.201,0.826,53.235,-34.895,24.99
49426650,-0.302,0.205,0.773,34.457,-28.472,28.805
49426660,-0.444,0.127,0.764,17.587,-21.682,35.367
49426670,-0.572,0.111,0.775,11.06,-21.105,36.19
49426680,-0.641,0.086,0.754,10.727,-33.32,38.587
49426690,-0.656,0.089,0.796,21.315,-55.09,36.155
49426700,-0.58,0.146,0.793,19.372,-78.855,40.04
49426710,-0.456,0.098,0.786,24.745,-96.95,41.58
49426720,-0.349,0.106,0.822,36.872,-104.282,41.23
49426730,-0.286,0.15,0.846,40.915,-107.957,43.19
49426740,-0.245,0.183,0.841,40.792,-108.78,44.975
49426750,-0.184,0.218,0.84,39.112,-106.645,42.77
49426760,-0.142,0.227,0.829,34.685,-101.867,39.217
49426770,-0.133,0.212,0.815,31.325,-97.282,37.047
49426780,-0.14,0.205,0.809,31.132,-94.535,36.767
49426790,-0.169,0.238,0.817,31.412,-96.285,36.207
49426800,-0.162,0.281,0.824,29.085,-101.045,35.717
49426800,-0.14,0.29,0.828,24.097,-105.752,36.365
49426820,-0.134,0.252,0.808,18.69,-111.51,39.62
49426820,-0.097,0.228,0.818,19.197,-116.322,42.42
49426830,-0.159,0.178,0.922,23.135,-123.112,41.405
49426840,-0.031,-0.112,0.942,35.577,-120.68,40.88
49426850,0.403,-0.111,0.339,115.167,-107.152,28.717
49426860,0.213,0.564,1.186,181.457,-134.4,52.99
49426870,-0.481,1.122,1.173,99.085,-139.79,99.627
49426880,-0.003,0.703,1.02,11.567,-138.46,59.535
49426890,0.482,0.233,0.832,-27.125,-109.952,16.835
49426900,0.465,0.224,0.822,-30.38,-67.742,16.432
49426910,0.307,0.425,0.928,-25.2,-27.002,11.952
49426920,0.269,0.468,1.013,-40.792,10.885,0.367
49426930,0.15,0.32,0.987,-69.212,36.295,-8.242
49426940,0.012,0.247,0.978,-83.597,45.955,-18.375
49426950,-0.063,0.267,1.01,-86.345,39.41,-25.812
49426960,-0.11,0.306,1.045,-90.177,24.727,-29.837
49426970,-0.154,0.308,1.065,-100.8,2.502,-30.537
49426980,-0.206,0.323,1.032,-116.83,-22.032,-28.367
49426990,-0.21,0.317,1.016,-133.595,-54.232,-31.902
49427000,-0.002,0.25,0.959,-150.43,-80.377,-42.857
49427010,0.168,0.173,0.897,-161.682,-93.66,-50.015
49427020,0.25,0.048,0.851,-167.527,-97.895,-48.3
49427030,0.384,-0.068,0.756,-161.385,-85.977,-42.35
49427040,0.449,-0.15,0.763,-139.842,-63.332,-31.465
49427050,0.379,-0.154,0.732,-112.805,-34.387,-18.252
49427060,0.243,-0.137,0.813,-87.307,-11.917,-11.34
49427070,0.226,-0.11,0.819,-69.807,10.027,-12.04
49427080,0.263,-0.072,0.863,-52.815,32.707,-18.585
49427090,0.201,0.004,0.95,-42.84,50.295,-22.96
49427100,0.097,0.072,1.009,-45.517,60.952,-24.027
49427110,0.03,0.103,1.054,-56.525,62.982,-27.37
49427120,-0.015,0.107,1.084,-73.605,58.975,-32.305
49427130,-0.048,0.087,1.087,-92.68,49.77,-37.03
49427140,-0.075,0.04,1.068,-109.392,37.817,-40.932
49427150,-0.083,0.01,1.064,-122.255,24.762,-45.902
49427160,-0.076,-0.013,1.056,-133.07,12.687,-50.82
49427170,-0.078,-0.034,1.064,-143.29,1.242,-57.225
49427170,-0.103,-0.065,1.062,-154.507,-11.532,-64.977
49427190,-0.13,-0.147,1.022,-162.417,-29.505,-70.175
49427190,-0.137,-0.266,0.994,-155.487,-50.89,-69.3
49427210,-0.099,-0.325,0.976,-139.265,-71.225,-66.727
49427210,-0.111,-0.383,0.933,-117.67,-91.42,-64.015
49427230,0.001,-0.366,1.005,-88.27,-103.792,-70.21
49427230,0.05,-0.343,1.028,-75.757,-109.06,-62.282
49427250,0.062,-0.371,1.03,-68.512,-110.11,-59.272
49427250,0.11,-0.391,1.044,-61.915,-104.317,-62.02
49427260,0.433,-0.465,1.221,-54.232,-85.137,-61.337
49427270,0.517,-0.531,0.964,-38.5,-36.54,-49.262
49427280,0.263,-0.497,1.124,-7.385,-5.355,-39.41
49427290,-0.012,-0.421,1.068,13.317,3.517,-23.467
49427300,-0.114,-0.424,1.049,35.087,-13.37,-4.462
49427310,-0.018,-0.446,1.002,56.14,-32.865,4.252
49427320,0.131,-0.477,0.946,80.377,-39.97,10.5
49427330,0.195,-0.491,0.905,112.857,-32.585,20.405
49427340,0.23,-0.466,0.866,149.38,-12.932,29.015
49427350,0.272,-0.374,0.875,186.48,11.182,37.152
49427360,0.271,-0.211,0.942,210.402,38.097,48.422
49427370,0.271,-0.05,0.997,216.667,64.05,61.757
49427380,0.309,0.074,1.028,208.25,92.872,75.985
49427390,0.354,0.196,1.041,188.807,127.767,89.32
49427400,0.36,0.31,1.033,160.23,168.997,100.712
49427410,0.334,0.409,1.022,125.23,216.772,104.282
49427420,0.266,0.477,0.973,82.18,267.662,93.73
49427430,0.123,0.466,0.901,32.497,310.205,73.272
49427440,-0.038,0.384,0.835,-19.355,337.242,55.125
49427450,-0.167,0.294,0.758,-64.452,346.132,40.215
49427460,-0.288,0.206,0.708,-96.81,339.885,27.702
49427470,-0.382,0.115,0.661,-116.865,323.435,17.92
49427480,-0.416,0.019,0.656,-124.635,301.175,11.655
49427490,-0.484,-0.076,0.666,-120.662,269.325,14.35
49427500,-0.574,-0.17,0.661,-107.065,232.907,26.407
49427510,-0.531,-0.213,0.67,-82.722,198.695,38.447
49427510,-0.501,-0.249,0.715,-53.27,166.127,55.947
49427530,-0.558,-0.253,0.772,-27.037,140.77,76.475
49427530,-0.593,-0.212,0.831,-4.69,120.102,85.82
49427550,-0.557,-0.243,0.974,8.487,99.4,87.01
